"Unit Code","Unit Name",Lecturer,Day,"Time Slot",Room
"CIM 212","Security in Applications",PF16,Monday,07:00-09:00,"TB 9"
"CIM 302","IT Service Support and Delivery",PF18,Monday,09:00-11:00,"TB 4"
"CIS 310","Mobile Devices and Wireless Computing",PF04,Monday,11:00-13:00,"TB 9"
"CIM 206","Messaging and Communication",PF15,Monday,15:00-17:00,"TB 2"
"CCT 316","Digital Communications Systems",PF21,Monday,07:00-09:00,"TB 7"
"CIS 212","Computer Networks Lab III",PF01,Monday,09:00-11:00,"LAB III"
"CIM 210","Office Applications Programming",PF17,Monday,07:00-09:00,"TB 8"
"CIS 210","Human Computer Interaction",PF14,Monday,13:00-15:00,"TB 1"
"CIT 404","Cryptography and Information Security",PF03,Monday,17:00-19:00,"TB 4"
"CIT 202","Computer Aided Design",PF04,Monday,15:00-17:00,"LAB VI"
"CIS 402","Business Process Management",PF60,Monday,11:00-13:00,"TB 2"
"CIM 406","Change Management",PF60,Monday,07:00-09:00,"TB 2"
"CIS 314","Computer Graphics",PF15,Monday,15:00-17:00,"LAB VI"
"CCS 214","Group Project",PF27,Monday,17:00-19:00,"LAB III"
"CIS 408","IS Project Execution",PF52,Monday,17:00-19:00,"LAB III"
"CCT 108","Digital Logic Circuits",PF22,Monday,07:00-09:00,"TB 1"
"CIS 304","Database Administration",PF18,Monday,17:00-19:00,"TB 1"
