;"Maseno University";;;
;"Department Timetable";;;
Unit,Lecturer,Time,Room
"CCS 408","Vivian Oloo",13:00-15:00,"LAB V"
"CCT 212","Lilian Wanzare",17:00-19:00,"TB 7"
"CCS 206","James Obuhuma",09:00-11:00,"TB 2"
"CCS 108","Henry Okoyo",17:00-19:00,"Electronics LAB I"
"CCT 316","Sylvester McOyowo",15:00-17:00,"TB 2"
"CCS 406","Vivian Oloo",07:00-09:00,"LAB III"
"CCS 304","M O Adongo",11:00-13:00,"LAB V"
"CCS 122","Dickson Omingo",11:00-13:00,"TB 8"
"CCS 216","Lilian Wanzare",15:00-17:00,"LAB VII"
"CCS 312","John Alwala",09:00-11:00,"TB 6"
"CCS 302","M O Adongo",15:00-17:00,"TB 8"
"CCT 412","Sylvester McOyowo",13:00-15:00,"TB 2"
"CCS 214","John Alwala",15:00-17:00,"LAB III"
"CCS 416","James Obuhuma",15:00-17:00,"TB 9"
"CCT 318","Dickson Omingo",17:00-19:00,"TB 6"
"CCS 110","Michael Ondeja",11:00-13:00,"TB 10"
"CCS 202","Vivian Oloo",09:00-11:00,"TB 9"
"CCT 110","Vivian Oloo",09:00-11:00,"Electronics LAB I"
"CCT 202","Dickson Omingo",09:00-11:00,"Electronics LAB II"
"CCS 412","Lilian Wanzare",13:00-15:00,"TB 4"
"CCT 302","Henry Okoyo",11:00-13:00,"TB 2"
"CCT 210","Solomon Nyabundi",09:00-11:00,"TB 10"
"CCT 114","Vivian Oloo",15:00-17:00,"TB 2"
"CCT 116","John Konyino",07:00-09:00,"Electronics LAB III"
"CCT 312","James Obuhuma",15:00-17:00,"TB 4"
"CCS 208","Solomon Nyabundi",13:00-15:00,"TB 4"
"CCS 314","John Alwala",11:00-13:00,"LAB IX"
"CCS 212","M O Adongo",07:00-09:00,"TB 10"
"CCS 318","Calvins Otieno",11:00-13:00,"TB 4"
"CCS 306","Calvins Otieno",13:00-15:00,"TB 10"
"CCT 418","Lilian Wanzare",15:00-17:00,"TB 8"
"CCT 214","John Konyino",15:00-17:00,"TB 11"
"CCS 106","Michael Ondeja",17:00-19:00,"TB 9"
"CCS 204","Solomon Nyabundi",09:00-11:00,"LAB VI"
"CCT 406","M O Adongo",11:00-13:00,"TB 8"
"CCT 102","Michael Ondeja",07:00-09:00,"TB 9"
"CCT 104","James Obuhuma",13:00-15:00,"LAB III"
"CCT 304","M O Adongo",07:00-09:00,"TB 9"
"CCT 112","John Konyino",07:00-09:00,"TB 1"
"CCT 108","Henry Okoyo",17:00-19:00,"TB 9"
"CCT 420","John Konyino",13:00-15:00,"TB 1"
"CCT 320","Calvins Otieno",11:00-13:00,"LAB III"
"CCS 404","Vivian Oloo",13:00-15:00,"TB 1"
"CCS 418","Calvins Otieno",15:00-17:00,"TB 7"
"CCT 206","Solomon Nyabundi",07:00-09:00,"TB 7"
"CCS 114","Michael Ondeja",11:00-13:00,"LAB IX"
"CCT 306","John Alwala",11:00-13:00,"TB 6"
"CCS 422","Henry Okoyo",13:00-15:00,"TB 10"
"CCS 308","Sylvester McOyowo",13:00-15:00,"TB 10"
"CCS 310","Henry Okoyo",17:00-19:00,"TB 7"
"CCS 112","Michael Ondeja",11:00-13:00,"TB 8"
"CCS 102","Dickson Omingo",17:00-19:00,"TB 4"
"CCT 308","Calvins Otieno",13:00-15:00,"TB 6"
"CCS 104","James Obuhuma",13:00-15:00,"LAB III"
"CCS 316","John Alwala",13:00-15:00,"TB 8"
"CCT 322","John Alwala",17:00-19:00,"LAB III"
"CCT 106","Michael Ondeja",09:00-11:00,"TB 8"
"CCS 210","Lilian Wanzare",15:00-17:00,"TB 2"
"CCT 215","Solomon Nyabundi",15:00-17:00,"TB 4"
"CCS 414","John Konyino",07:00-09:00,"TB 7"
"CCT 216","Lilian Wanzare",15:00-17:00,"TB 11"
"CCT 118","Dickson Omingo",11:00-13:00,"Electronics LAB II"
"CCT 402","Henry Okoyo",13:00-15:00,"LAB V"
