"Unit Code","Unit Name",Lecturer,Day,"Time Slot",Room
"CCT 118","Digital Electronics I LAB","Mr Dickson Omingo",Tuesday,11:00-13:00,"Electronics LAB I"
"CCT 110","Digital Logic Circuits Lab","Mrs Vivian Oloo",Tuesday,13:00-15:00,"Electronics LAB II"
"CCS 412","Natural Language Processing","Dr Lilian Wanzare",Tuesday,17:00-19:00,"TB 4"
"CCS 302","Human Computer Interaction","Mr M O Adongo",Wednesday,11:00-13:00,"TB 4"
"CIT 304","Integrative programming and technologies","Mr Moses Wainaina",Monday,13:00-15:00,"TB 9"
"CIT 308","Web systems and Technologies II","Mr David Saka",Friday,17:00-19:00,"LAB VI"
"CCT 306","Mobile Computing","Mr John Alwala",Thursday,17:00-19:00,"TB 6"
"CIT 106","Database Systems","Mrs Rose Kapukha",Friday,11:00-13:00,"TB 4"
"CIM 302","IT Service Support and Delivery","Mrs Yvonne Mwajuma",Friday,13:00-15:00,"TB 1"
"CCS 416","Information Retrival","Dr James Obuhuma",Tuesday,11:00-13:00,"TB 2"
"CIM 416","Emerging Database Technologies & Applications","Mrs Rose Kapukha",Friday,15:00-17:00,"TB 8"
"CIS 204","Group Project","Mr Gabriel Oliko",Wednesday,07:00-09:00,"LAB VII"
"CIM 312","Project (Programming)","Mrs Violet Settim",Tuesday,11:00-13:00,"LAB V"
"CCT 215","Applied Electromagnetics","Mr Solomon Nyabundi",Wednesday,11:00-13:00,"TB 8"
"CCS 104","Object Oriented Programming","Dr James Obuhuma",Thursday,07:00-09:00,"LAB V"
"CIT 210","Object Oriented Analysis and Design","Mrs Yvonne Mwajuma",Monday,13:00-15:00,"TB 6"
"CIS 310","Mobile Devices and Wireless Computing","Mr Isaac Owino",Wednesday,13:00-15:00,"TB 2"
"CCT 402","Computer-Aided Analysis and Design","Dr Henry Okoyo",Friday,07:00-09:00,"LAB V"
"CIS 106","Database Systems","Mrs Rose Kapukha",Thursday,07:00-09:00,"TB 2"
"CCS 114","Introduction to Spreadsheets","Mr Michael Ondeja",Friday,17:00-19:00,"LAB III"
"CCS 314","Computer Networks Lab II (CISCO II)","Mr John Alwala",Monday,13:00-15:00,"LAB III"
"CIS 208","Software Engineering","Mrs Yvonne Mwajuma",Tuesday,07:00-09:00,"TB 4"
"CIT 212","Computer Networks lab II","Dr  Titus Muhambe",Monday,15:00-17:00,"LAB V"
"CIM 308","Mobile Computing","Mr Isaac Owino",Thursday,15:00-17:00,"TB 1"
"CIT 314","Mobile Programming","Mrs Rennish Mboya",Friday,07:00-09:00,"LAB V"
"CIM 412",Entrepreneurship,"Mr Thomas Ojijo",Friday,13:00-15:00,"TB 7"
"CIS 108","Systems Analysis and Design","Mrs Yvonne Mwajuma",Monday,11:00-13:00,"TB 1"
"CIM 322","Internet Based Programming","Mr David Saka",Wednesday,17:00-19:00,"TB 1"
"CIM 320","Object Oriented Systems Analysis & Design","Mrs Yvonne Mwajuma",Tuesday,09:00-11:00,"TB 4"
"CIS 404","Information Systems Security and Controls","Mr Isaac Owino",Thursday,13:00-15:00,"TB 9"
"ABS 424","Entrepreneurship and Small Business Management","Mr Thomas Ojijo",Wednesday,07:00-09:00,"TB 6"
"CCT 214","Signals and Systems","Mr John Konyino",Monday,15:00-17:00,"TB 7"
"CIM 408","Information Systems Audits","Mr Michael Wambwere",Thursday,11:00-13:00,"TB 7"
"CIT 206","Research Methods and Technical Writing","Mr Michael Wambwere",Wednesday,15:00-17:00,"TB 7"
"CCT 106","Discrete Structures II","Mr Michael Ondeja",Tuesday,11:00-13:00,"TB 1"
"CIS 302","Computer Aided Art and Design","Mr Isaac Owino",Tuesday,13:00-15:00,"TB 9"
"CCT 420","Pattern Recognition","Mr John Konyino",Tuesday,15:00-17:00,"TB 8"
"CCT 112","Electronics II","Mr John Konyino",Thursday,17:00-19:00,"TB 9"
"CIS 308","Web Server Applications Development","Mr David Saka",Thursday,17:00-19:00,"TB 2"
"CIM 206","Messaging and Communication","Mr Bethuel Okelo",Friday,07:00-09:00,"TB 8"
"CIT 312","Group Project (Project Implementation)","Mrs Rose Kapukha",Tuesday,11:00-13:00,"LAB VII"
"CIS 408","IS Project Execution","Dr Roxanne Hawi",Tuesday,07:00-09:00,"LAB VI"
"CCS 112","Databases Systems","Mr Michael Ondeja",Wednesday,09:00-11:00,"TB 9"
"CIM 204","Customer Care","Mr Thomas Ojijo",Thursday,09:00-11:00,"TB 9"
"CIT 216","System Administration and Management","Mr Gabriel Oliko",Tuesday,07:00-09:00,"TB 6"
"CIT 208","Group Project","Dr Roxanne Hawi",Tuesday,13:00-15:00,"LAB VI"
"CIM 402","IT Project Management","Mr Moses Wainaina",Thursday,13:00-15:00,"TB 1"
"CIT 318","Artificial Intelligence","Mr Gabriel Oliko",Tuesday,17:00-19:00,"TB 7"
"CIT 204","Networking Administration and Management","Dr  Titus Muhambe",Tuesday,17:00-19:00,"TB 8"
"CCS 308","Research Methods and Technical Writing","Dr Sylvester McOyowo",Tuesday,07:00-09:00,"TB 4"
"CCT 302","Computer Architecture II","Dr Henry Okoyo",Wednesday,09:00-11:00,"TB 1"
"CCT 210","Data Communications","Mr Solomon Nyabundi",Tuesday,11:00-13:00,"TB 6"
"CIM 316","System Administration II","Mr Gabriel Oliko",Thursday,17:00-19:00,"TB 1"
"CIS 412","Business Continuity and Disaster Recovery","Mr George Omuono",Wednesday,17:00-19:00,"TB 8"
"CIT 214","Software Engineering","Mrs Yvonne Mwajuma",Wednesday,15:00-17:00,"TB 9"
"CIT 322","Computer Networks Lab 4","Dr  Titus Muhambe",Monday,09:00-11:00,"LAB VI"
"CCS 404","Social Legal and ethical issues in Computing","Mrs Vivian Oloo",Wednesday,09:00-11:00,"TB 1"
"CCS 216","Visual Basic Programming","Dr Lilian Wanzare",Friday,13:00-15:00,"LAB VII"
"CIM 404","Security Policies","Mr Michael Wambwere",Tuesday,15:00-17:00,"TB 6"
"CCS 214","Group Project","Mr John Alwala",Tuesday,09:00-11:00,"LAB VI"
"CIT 120","Computer Organization and Architecture","Mr George Omuono",Friday,15:00-17:00,"TB 8"
"CIM 420","Software Quality Assurance","Dr  Samuel Oonge",Monday,09:00-11:00,"TB 2"
"CIM 120"," Computer Organization and Architecture","Mr George Omuono",Thursday,15:00-17:00,"TB 1"
"CIT 316","Computer Graphics","Mr Bethuel Okelo",Friday,09:00-11:00,"TB 9"
"CIS 104","Object Oriented Programming I","Mr Michael Wambwere",Tuesday,11:00-13:00,"LAB III"
"CCS 102","Linear Algebra","Mr Dickson Omingo",Monday,07:00-09:00,"TB 4"
"CCT 316","Digital Communications Systems","Dr Sylvester McOyowo",Monday,17:00-19:00,"TB 1"
"CIM 210","Office Applications Programming","Mr Moses Wainaina",Friday,17:00-19:00,"TB 7"
"CIS 202","Transaction Processing Systems","Mr Charles Awuor",Tuesday,09:00-11:00,"TB 1"
"CIT 402","IT project II","Mrs Violet Settim",Friday,09:00-11:00,"LAB V"
"CCS 306","Software Engineering","Dr Calvins Otieno",Friday,15:00-17:00,"TB 6"
"CCT 202","Digital Electronics II","Mr Dickson Omingo",Monday,07:00-09:00,"Electronics LAB I"
"CCS 406","Computer Science Project II","Mrs Vivian Oloo",Wednesday,07:00-09:00,"LAB VII"
"CIT 108","System Analysis and Design","Mrs Yvonne Mwajuma",Thursday,15:00-17:00,"LAB III"
"ABA 424","Entrepreneurship and Small Business Management","Mr Thomas Ojijo",Wednesday,09:00-11:00,"TB 9"
"CCS 110","Introduction to Internet Technologies","Mr Michael Ondeja",Tuesday,09:00-11:00,"TB 1"
"CCS 418","Advanced Database Systems","Dr Calvins Otieno",Tuesday,15:00-17:00,"TB 6"
"CCT 418","Natural Language Processing","Dr Lilian Wanzare",Wednesday,07:00-09:00,"TB 2"
"CIM 304","Unix Fundamentals","Mr Gabriel Oliko",Friday,13:00-15:00,"TB 9"
"CCS 108","Digital Electronics 1","Dr Henry Okoyo",Monday,15:00-17:00,"Electronics LAB I"
"CIS 312","Business Ethics and Corporate Governance","Mr Thomas Ojijo",Monday,09:00-11:00,"TB 2"
"CIM 202","Operations Management","Mr George Omuono",Thursday,15:00-17:00,"TB 2"
"CIM 106","Database Systems","Mrs Rose Kapukha",Thursday,17:00-19:00,"TB 2"
"CIT 302","Human Computer Interaction","Mrs Maurine Awuor",Friday,07:00-09:00,"TB 1"
"CIT 418","Authentication Protocols and Biometrics","Dr  Samuel Oonge",Wednesday,11:00-13:00,"TB 7"
"CIS 314","Computer Graphics","Mr Bethuel Okelo",Thursday,11:00-13:00,"LAB VII"
"CCT 102","Engineering Mathematics II","Mr Michael Ondeja",Friday,13:00-15:00,"TB 1"
"CIM 108","System Analysis and Design","Mrs Yvonne Mwajuma",Tuesday,09:00-11:00,"TB 9"
"CCS 318","Introduction to Expert Systems","Dr Calvins Otieno",Tuesday,17:00-19:00,"TB 7"
"CIM 418","Software Implementation Techniques","Mrs Violet Settim",Friday,07:00-09:00,"TB 4"
"CIM 306","Group Project 2","Mr George Omuono",Friday,07:00-09:00,"TB 8"
"CIM 208","Work Flow Applications","Mr Bethuel Okelo",Wednesday,11:00-13:00,"TB 8"
